codigo_ocorrencia,classificacao,tipo,localidade,uf,pais,aerodromo,dia_ocorrencia,horario,sera_investigada,comando_investigador,status_investigacao,numero_relatorio,relatorio_publicado,dia_publicacao,quantidade_recomendacoes,aeronaves_envolvidas,saida_pista,dia_extracao
53178,ACIDENTE,"PERDA DE CONTROLE EM VOO",DIAMANTINO,MT,BRASIL,****,2015-03-23,17:15:00,SIM,SERIPA-6,ATIVA,A-042/CENIPA/2015,NULL,NULL,0,1,NULL,2016-07-30
32035,ACIDENTE,"FALHA DO MOTOR EM VOO",DIAMANTINO,MT,BRASIL,****,2008-03-30,10:30:00,SIM,SERIPA-6,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
46444,ACIDENTE,"COLISÃO COM OBSTÁCULO NO SOLO",PAUINI,AM,BRASIL,SWUI,2012-08-22,18:51:00,SIM,SERIPA-7,FINALIZADA,A-049/CENIPA/2013,1,2013-09-19,3,1,NULL,2016-07-30
43732,"INCIDENTE GRAVE","COLISÃO COM OBSTÁCULO NO SOLO",PAUINI,AM,BRASIL,SWUI,2011-01-27,21:30:00,SIM,SERIPA-7,FINALIZADA,IG-024/CENIPA/2011,1,2011-06-30,1,1,NULL,2016-07-30
53491,ACIDENTE,"FALHA DO MOTOR EM VOO",PAUINI,AM,BRASIL,****,2015-09-30,14:30:00,SIM,SERIPA-7,ATIVA,A-131/CENIPA/2015,NULL,NULL,0,1,NULL,2016-07-30
47647,ACIDENTE,"FALHA DE SISTEMA / COMPONENTE",ARAGUARI,MG,BRASIL,SNAG,2013-02-16,20:45:00,***,SERIPA-3,NULL,NULL,NULL,NULL,0,1,NULL,2016-07-30
53180,ACIDENTE,"FALHA DO MOTOR EM VOO",ARAGUARI,MG,BRASIL,****,2015-03-28,18:52:00,SIM,SERIPA-3,FINALIZADA,A-048/CENIPA/2015,1,2016-07-07,0,1,NULL,2016-07-30
27489,ACIDENTE,"FALHA DO MOTOR EM VOO",ARAGUARI,MG,BRASIL,****,2006-08-16,16:50:00,SIM,SERIPA-3,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
35255,ACIDENTE,"FALHA DO MOTOR EM VOO",CAMAQUÃ,RS,BRASIL,****,2009-02-19,12:30:00,SIM,SERIPA-5,FINALIZADA,A-073/CENIPA/2010,1,2010-09-24,1,1,NULL,2016-07-30
31038,ACIDENTE,"COM TREM DE POUSO",CAMAQUÃ,RS,BRASIL,****,2007-11-07,18:00:00,SIM,SERIPA-5,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
45856,"INCIDENTE GRAVE","COM HÉLICE","PRESIDENTE FIGUEIREDO",AM,BRASIL,****,2012-05-16,19:30:00,SIM,SERIPA-7,FINALIZADA,IG-113/CENIPA/2013,1,2014-10-02,0,1,NULL,2016-07-30
53254,ACIDENTE,"COLISÃO EM VOO COM OBSTÁCULO",CAMBARÁ,PR,BRASIL,****,2015-05-20,14:00:00,SIM,SERIPA-5,FINALIZADA,A-075/CENIPA/2015,1,2015-11-16,1,1,NULL,2016-07-30
45596,ACIDENTE,"PERDA DE CONTROLE EM VOO","ELISEU MARTINS",PI,BRASIL,****,2012-03-06,12:30:00,SIM,SERIPA-2,FINALIZADA,A-040/CENIPA/2013,1,2013-11-30,2,1,NULL,2016-07-30
53374,ACIDENTE,"FALHA DO MOTOR EM VOO",ITAITUBA,PA,BRASIL,****,2015-07-14,19:30:00,SIM,SERIPA-1,FINALIZADA,A-102/CENIPA/2015,1,2016-06-16,0,1,NULL,2016-07-30
52941,ACIDENTE,"COLISÃO COM OBSTÁCULO NO SOLO",ITAITUBA,PA,BRASIL,SNXR,2014-01-12,20:30:00,SIM,SERIPA-1,ATIVA,A-012/CENIPA/2014,NULL,NULL,0,1,1,2016-07-30
51532,ACIDENTE,"FOGO NO SOLO",ITAITUBA,PA,BRASIL,****,2014-06-07,13:00:00,SIM,SERIPA-1,FINALIZADA,A-106/CENIPA/2014,1,2015-04-24,0,1,NULL,2016-07-30
45058,ACIDENTE,"FALHA DE SISTEMA / COMPONENTE",ITAITUBA,PA,BRASIL,****,2011-09-26,18:03:00,SIM,SERIPA-1,ATIVA,A-510/CENIPA/2016,NULL,NULL,0,1,NULL,2016-07-30
51009,ACIDENTE,"PERDA DE CONTROLE EM VOO",ITAITUBA,PA,BRASIL,****,2014-04-30,22:15:00,SIM,SERIPA-1,FINALIZADA,A-087/CENIPA/2014,1,2015-08-23,0,1,NULL,2016-07-30
50321,ACIDENTE,INDETERMINADA,ITAITUBA,PA,BRASIL,****,2013-10-29,12:25:00,SIM,SERIPA-1,FINALIZADA,A-196/CENIPA/2013,1,2015-06-03,0,1,NULL,2016-07-30
42919,ACIDENTE,"FALHA DO MOTOR EM VOO",ITAITUBA,PA,BRASIL,****,2010-09-15,18:10:00,SIM,SERIPA-1,FINALIZADA,A-086/CENIPA/2011,1,2011-09-23,9,1,NULL,2016-07-30
29858,ACIDENTE,"OUTROS TIPOS",ITAITUBA,PA,BRASIL,****,2007-07-13,15:30:00,SIM,SERIPA-1,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
43473,"INCIDENTE GRAVE","COLISÃO COM OBSTÁCULO NO SOLO",ITAITUBA,PA,BRASIL,SBIH,2010-12-13,19:25:00,SIM,SERIPA-1,ATIVA,"A DEFINIR",NULL,NULL,0,1,1,2016-07-30
36138,"INCIDENTE GRAVE","COLISÃO COM OBSTÁCULO NO SOLO",ITAITUBA,PA,BRASIL,****,2009-03-16,17:30:00,SIM,SERIPA-1,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
36676,ACIDENTE,"FALHA DE SISTEMA / COMPONENTE",ITAITUBA,PA,BRASIL,****,2009-03-30,18:20:00,SIM,SERIPA-1,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
34755,ACIDENTE,"COLISÃO EM VOO COM OBSTÁCULO","FELIZ NATAL",MT,BRASIL,****,2007-12-17,18:00:00,SIM,SERIPA-6,FINALIZADA,A-018/CENIPA/2009,1,2008-10-07,4,1,NULL,2016-07-30
43043,ACIDENTE,"PERDA DE CONTROLE EM VOO",CAMBÉ,PR,BRASIL,****,2010-09-11,21:13:00,***,SERIPA-5,NULL,NULL,NULL,NULL,0,1,NULL,2016-07-30
34656,ACIDENTE,"CFIT - COLISÃO EM VOO CONTROLADO COM O TERRENO",ITUPIRANGA,PA,BRASIL,****,2008-12-11,12:30:00,SIM,SERIPA-1,FINALIZADA,A-013/CENIPA/2011,1,2011-06-27,1,1,NULL,2016-07-30
53340,ACIDENTE,"OUTROS TIPOS",CAUCAIA,CE,BRASIL,****,2015-06-26,20:25:00,SIM,SERIPA-2,ATIVA,A-092/CENIPA/2015,NULL,NULL,0,1,NULL,2016-07-30
53360,ACIDENTE,"FALHA DO MOTOR EM VOO",CAUCAIA,CE,BRASIL,****,2015-07-10,18:00:00,SIM,SERIPA-2,ATIVA,A-100/CENIPA/2015,NULL,NULL,0,1,NULL,2016-07-30
53489,ACIDENTE,"POUSO SEM TREM",JACAREACANGA,PA,BRASIL,SBEK,2015-09-22,22:15:00,SIM,SERIPA-1,FINALIZADA,A-127/CENIPA/2015,1,2016-04-22,0,1,NULL,2016-07-30
50972,ACIDENTE,"FALHA DO MOTOR EM VOO",JACAREACANGA,PA,BRASIL,****,2014-03-18,15:50:00,SIM,SERIPA-1,FINALIZADA,A-059CENIPA2014,1,2016-03-07,1,1,NULL,2016-07-30
38677,ACIDENTE,"FALHA DO MOTOR EM VOO",JACAREACANGA,PA,BRASIL,SBEK,2009-10-28,11:32:00,SIM,SERIPA-1,FINALIZADA,A-030/CENIPA/2012,1,2012-03-22,2,1,NULL,2016-07-30
44404,"INCIDENTE GRAVE","ESTOURO DE PNEU",JACAREACANGA,PA,BRASIL,****,2011-04-20,10:00:00,SIM,SERIPA-1,ATIVA,"A DEFINIR",NULL,NULL,0,1,1,2016-07-30
46438,"INCIDENTE GRAVE","FALHA DO MOTOR EM VOO","ARTUR NOGUEIRA",SP,BRASIL,****,2012-10-02,11:10:00,SIM,SERIPA-4,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
52282,ACIDENTE,"FALHA DO MOTOR EM VOO","BOA VISTA DO TUPIM",BA,BRASIL,****,2014-09-15,18:15:00,***,SERIPA-2,NULL,NULL,NULL,NULL,0,1,NULL,2016-07-30
43832,ACIDENTE,"PERDA DE CONTROLE EM VOO",PARATY,RJ,BRASIL,SDTK,2011-01-30,22:30:00,SIM,SERIPA-3,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
32379,ACIDENTE,"DESORIENTAÇÃO ESPACIAL",PARATY,RJ,BRASIL,****,2008-04-30,22:59:00,SIM,SERIPA-3,ATIVA,A-013/CENIPA/2013,NULL,NULL,1,1,NULL,2016-07-30
50132,ACIDENTE,"CFIT - COLISÃO EM VOO CONTROLADO COM O TERRENO",PARATY,RJ,BRASIL,****,2013-11-10,17:00:00,SIM,SERIPA-3,ATIVA,A-204/CENIPA/2013,NULL,NULL,0,1,NULL,2016-07-30
38915,"INCIDENTE GRAVE","COM TREM DE POUSO","SÃO GABRIEL DA CACHOEIRA",AM,BRASIL,SWQE,2009-10-07,20:05:00,SIM,SERIPA-7,ATIVA,IG-530/CENIPA/2016,NULL,NULL,0,1,NULL,2016-07-30
45579,ACIDENTE,"COLISÃO EM VOO COM OBSTÁCULO","CAMPOS LINDOS",TO,BRASIL,****,2012-01-28,18:35:00,SIM,SERIPA-6,FINALIZADA,A-520/CENIPA/2016,1,2016-07-13,0,1,NULL,2016-07-30
47980,ACIDENTE,"FALHA DO MOTOR EM VOO",FIGUEIRÃO,MS,BRASIL,****,2013-04-25,12:15:00,SIM,SERIPA-4,FINALIZADA,A-082/CENIPA/2013,1,2013-09-02,0,1,NULL,2016-07-30
29535,ACIDENTE,"PERDA DE CONTROLE EM VOO",ARUJÁ,SP,BRASIL,****,2007-06-15,16:45:00,SIM,SERIPA-4,FINALIZADA,A-594/CENIPA/2014,1,2014-10-01,0,1,NULL,2016-07-30
46178,ACIDENTE,"PERDA DE CONTROLE NO SOLO","GENERAL CARNEIRO",MT,BRASIL,****,2012-07-07,09:20:00,SIM,SERIPA-6,FINALIZADA,"ENCERRADA NO RAI",NULL,NULL,0,1,NULL,2016-07-30
65312,ACIDENTE,"CFIT - COLISÃO EM VOO CONTROLADO COM O TERRENO",CABECEIRAS,GO,BRASIL,NULL,2015-02-11,11:18:00,SIM,SERIPA-6,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
46581,ACIDENTE,"PERDA DE CONTROLE EM VOO","CAMPINA GRANDE DO SUL",PR,BRASIL,****,2012-10-18,21:00:00,***,SERIPA-5,NULL,NULL,NULL,NULL,0,1,NULL,2016-07-30
53225,ACIDENTE,"PERDA DE CONTROLE NO SOLO","CAMPINA GRANDE DO SUL",PR,BRASIL,SBBI,2015-04-05,11:10:00,SIM,SERIPA-5,FINALIZADA,A-055/CENIPA/2015,1,2015-11-16,2,1,NULL,2016-07-30
52652,ACIDENTE,"FALHA DO MOTOR EM VOO","CAMPINA GRANDE DO SUL",PR,BRASIL,****,2014-10-27,16:30:00,SIM,SERIPA-5,FINALIZADA,A-179/CENIPA/2014,1,2015-06-03,0,1,NULL,2016-07-30
46612,ACIDENTE,"COM TREM DE POUSO","CAMPINA GRANDE",PB,BRASIL,****,2012-11-23,14:47:00,***,SERIPA-2,NULL,NULL,NULL,NULL,0,1,NULL,2016-07-30
46853,ACIDENTE,"POUSO SEM TREM","CAMPINA GRANDE",PB,BRASIL,SBJP,2013-01-25,14:20:00,SIM,SERIPA-2,FINALIZADA,A-120/CENIPA/2013,1,2013-09-19,5,1,NULL,2016-07-30
50919,ACIDENTE,"COLISÃO EM VOO COM OBSTÁCULO","CAMPO BONITO",PR,BRASIL,****,2014-04-06,10:25:00,SIM,SERIPA-5,FINALIZADA,A-069/CENIPA/2014,1,2014-10-14,0,1,NULL,2016-07-30
53149,ACIDENTE,"COLISÃO EM VOO COM OBSTÁCULO",TABATINGA,AM,BRASIL,SBTT,2015-03-11,23:25:00,SIM,SERIPA-7,ATIVA,A-036/CENIPA/2015,NULL,NULL,0,1,NULL,2016-07-30
34082,ACIDENTE,"FALHA DO MOTOR EM VOO",BOQUIRA,BA,BRASIL,SNBO,2008-08-05,16:05:00,SIM,SERIPA-2,FINALIZADA,A-082/CENIPA/2010,1,2010-11-12,1,1,NULL,2016-07-30
52538,ACIDENTE,"COLISÃO COM OBSTÁCULO NO SOLO",BOQUIRA,BA,BRASIL,SNBO,2014-10-01,14:30:00,SIM,SERIPA-2,FINALIZADA,A-166/CENIPA/2014,1,2015-05-22,1,1,1,2016-07-30
38375,ACIDENTE,"POUSO EM LOCAL NÃO PREVISTO","CACHOEIRA ALTA",GO,BRASIL,****,2009-06-29,20:10:00,SIM,SERIPA-6,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
43721,ACIDENTE,"COM TREM DE POUSO",CRATEÚS,CE,BRASIL,SNWS,2010-12-15,09:00:00,SIM,SERIPA-2,FINALIZADA,A-047/CENIPA/2013,1,2013-08-28,4,1,NULL,2016-07-30
38816,ACIDENTE,"COLISÃO COM OBSTÁCULO NO SOLO",TAPAUÁ,AM,BRASIL,****,2009-11-28,14:30:00,SIM,SERIPA-7,FINALIZADA,A-564/CENIPA/2015,1,2016-04-22,0,1,NULL,2016-07-30
44231,"INCIDENTE GRAVE","COM TREM DE POUSO",CARUARU,PE,BRASIL,****,2011-02-11,21:45:00,SIM,SERIPA-2,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
47132,"INCIDENTE GRAVE","POUSO SEM TREM",CARUARU,PE,BRASIL,SNRU,2013-03-10,12:30:00,SIM,SERIPA-2,FINALIZADA,IG-048/CENIPA/2013,1,2013-08-26,0,1,NULL,2016-07-30
45222,"INCIDENTE GRAVE","TRÁFEGO AÉREO",CARUARU,PE,BRASIL,****,2011-08-21,11:46:00,SIM,SERIPA-2,ATIVA,IG-594/CENIPA/2016,NULL,NULL,0,2,NULL,2016-07-30
48014,ACIDENTE,"PERDA DE CONTROLE NO SOLO",CARUARU,PE,BRASIL,SNRU,2013-05-11,11:30:00,SIM,SERIPA-2,FINALIZADA,A-096/CENIPA/2013,1,2013-07-29,0,1,NULL,2016-07-30
44579,ACIDENTE,"PERDA DE CONTROLE EM VOO",CARUARU,PE,BRASIL,****,2011-06-04,13:00:00,SIM,SERIPA-2,FINALIZADA,A-533/CENIPA/2015,1,2015-07-07,1,1,NULL,2016-07-30
45755,"INCIDENTE GRAVE","PERDA DE CONTROLE NO SOLO",CARUARU,PE,BRASIL,SNRU,2012-04-04,10:45:00,SIM,SERIPA-2,FINALIZADA,IG-100/CENIPA/2013,1,2014-10-20,0,1,NULL,2016-07-30
52813,ACIDENTE,"POUSO BRUSCO",ATIBAIA,SP,BRASIL,SDTB,2014-12-20,21:00:00,***,SERIPA-4,NULL,NULL,NULL,NULL,0,1,NULL,2016-07-30
47048,"INCIDENTE GRAVE","PERDA DE CONTROLE NO SOLO",ATIBAIA,SP,BRASIL,SDVH,2013-02-23,17:00:00,SIM,SERIPA-4,FINALIZADA,IG-038/CENIPA/2013,1,2013-07-08,0,1,1,2016-07-30
52833,ACIDENTE,"PERDA DE CONTROLE NO SOLO",ATIBAIA,SP,BRASIL,SDTB,2014-12-16,17:30:00,SIM,SERIPA-4,ATIVA,A-200/CENIPA/2014,NULL,NULL,0,1,1,2016-07-30
38335,"INCIDENTE GRAVE","POUSO SEM TREM",ATIBAIA,SP,BRASIL,SDTB,2009-07-14,20:00:00,SIM,SERIPA-4,FINALIZADA,IG-082/CENIPA/2012,1,2012-08-07,3,1,NULL,2016-07-30
53103,"INCIDENTE GRAVE","PERDA DE CONTROLE NO SOLO",ATIBAIA,SP,BRASIL,SDTB,2011-11-24,12:40:00,SIM,SERIPA-4,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
46253,ACIDENTE,"FALHA DE SISTEMA / COMPONENTE",ATIBAIA,SP,BRASIL,SDTB,2012-08-16,14:45:00,SIM,SERIPA-4,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
44140,ACIDENTE,"PERDA DE CONTROLE EM VOO",ATIBAIA,SP,BRASIL,****,2011-03-27,20:15:00,SIM,SERIPA-4,FINALIZADA,A-584/CENIPA/2014,1,2014-08-15,1,1,NULL,2016-07-30
46336,ACIDENTE,"PERDA DE CONTROLE NO SOLO",ATIBAIA,SP,BRASIL,****,2012-08-17,18:10:00,SIM,SERIPA-4,FINALIZADA,A-549/CENIPA/2015,1,2015-11-16,0,1,NULL,2016-07-30
52696,"INCIDENTE GRAVE","PERDA DE CONTROLE EM VOO",ATIBAIA,SP,BRASIL,SDTB,2014-10-28,18:20:00,SIM,SERIPA-4,FINALIZADA,IG-181/CENIPA/2014,1,2015-04-30,0,1,NULL,2016-07-30
50353,ACIDENTE,"PERDA DE CONTROLE EM VOO",ATIBAIA,SP,BRASIL,SDVH,2013-12-07,20:30:00,***,SERIPA-4,NULL,NULL,NULL,NULL,0,1,NULL,2016-07-30
45403,ACIDENTE,"OUTROS TIPOS",ATIBAIA,SP,BRASIL,SDTB,2011-07-30,20:30:00,SIM,SERIPA-4,FINALIZADA,A-608/CENIPA/2014,1,2015-03-06,0,1,NULL,2016-07-30
50976,ACIDENTE,"PANE SECA",ATIBAIA,SP,BRASIL,SDVH,2014-03-02,16:20:00,SIM,SERIPA-4,FINALIZADA,A-046/CENIPA/2014,1,2014-10-17,0,1,NULL,2016-07-30
40554,ACIDENTE,"PERDA DE CONTROLE EM VOO",RESENDE,RJ,BRASIL,****,2010-04-27,18:47:00,SIM,SERIPA-3,FINALIZADA,A-114/CENIPA/2012,1,2012-10-17,8,1,NULL,2016-07-30
48630,ACIDENTE,"FALHA DO MOTOR EM VOO",RESENDE,RJ,BRASIL,SDRS,2013-05-30,16:15:00,SIM,SERIPA-3,FINALIZADA,A-104/CENIPA/2013,1,2014-06-16,0,1,NULL,2016-07-30
46919,"INCIDENTE GRAVE","PERDA DE CONTROLE NO SOLO",RESENDE,RJ,BRASIL,SDRS,2013-01-30,14:15:00,SIM,SERIPA-3,ATIVA,IG-022/CENIPA/2013,NULL,NULL,0,1,1,2016-07-30
45798,"INCIDENTE GRAVE","PERDA DE CONTROLE NO SOLO",CHAPECÓ,SC,BRASIL,****,2012-03-23,21:17:00,SIM,SERIPA-5,FINALIZADA,IG-174/CENIPA/2013,1,2013-12-18,0,1,NULL,2016-07-30
46418,ACIDENTE,"COLISÃO COM OBSTÁCULO NO SOLO",GUIRATINGA,MT,BRASIL,****,2012-09-07,13:30:00,SIM,SERIPA-6,FINALIZADA,"ENCERRADA NO RAI",NULL,NULL,0,1,NULL,2016-07-30
44757,ACIDENTE,"PERDA DE CONTROLE EM VOO",GUIRATINGA,MT,BRASIL,****,2007-01-18,21:00:00,SIM,SERIPA-6,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
46443,"INCIDENTE GRAVE","FALHA DO MOTOR EM VOO",TEFÉ,AM,BRASIL,SBTF,2012-10-03,12:35:00,SIM,SERIPA-7,FINALIZADA,IG-140/CENIPA/2013,1,2015-05-15,1,1,NULL,2016-07-30
32579,"INCIDENTE GRAVE","FALHA DO MOTOR EM VOO",TEFÉ,AM,BRASIL,SBTF,2008-06-07,14:45:00,SIM,SERIPA-7,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
53552,"INCIDENTE GRAVE","PERDA DE CONTROLE NO SOLO",TEFÉ,AM,BRASIL,SBTF,2015-11-06,15:04:00,SIM,SERIPA-7,ATIVA,IG-144/CENIPA/2015,NULL,NULL,0,1,1,2016-07-30
48727,ACIDENTE,"DESORIENTAÇÃO ESPACIAL",TEFÉ,AM,BRASIL,****,2013-06-14,11:10:00,SIM,SERIPA-7,FINALIZADA,A-113/CENIPA/2013,1,2016-06-03,2,1,NULL,2016-07-30
47075,ACIDENTE,"COM PÁRA-BRISAS / JANELA / PORTA",TEFÉ,AM,BRASIL,SBTF,2013-03-02,12:20:00,SIM,SERIPA-7,FINALIZADA,A-044/CENIPA/2013,1,2013-07-08,0,1,1,2016-07-30
46199,ACIDENTE,"PANE SECA",TEFÉ,AM,BRASIL,****,2012-08-05,15:00:00,SIM,SERIPA-7,FINALIZADA,A-023/CENIPA/2013,1,2013-07-26,3,1,NULL,2016-07-30
43794,ACIDENTE,"PERDA DE CONTROLE EM VOO","CAMPO LARGO",PR,BRASIL,****,2010-11-13,18:00:00,***,SERIPA-5,NULL,NULL,NULL,NULL,0,1,NULL,2016-07-30
43449,ACIDENTE,"PERDA DE CONTROLE NO SOLO","CAMPO LARGO",PR,BRASIL,****,2010-10-19,15:40:00,SIM,SERIPA-5,FINALIZADA,A-096/CENIPA/2011,1,2011-11-04,2,1,NULL,2016-07-30
46180,ACIDENTE,INDETERMINADA,AURIFLAMA,SP,BRASIL,****,2012-06-16,19:30:00,SIM,SERIPA-4,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
51444,"INCIDENTE GRAVE","POUSO ANTES DA PISTA",MARABÁ,PA,BRASIL,SBMA,2014-05-03,19:02:00,SIM,SERIPA-1,ATIVA,A-092/CENIPA/2014,NULL,NULL,0,1,NULL,2016-07-30
28193,ACIDENTE,"COLISÃO EM VOO COM OBSTÁCULO",MARABÁ,PA,BRASIL,****,2006-12-09,20:20:00,SIM,SERIPA-1,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
45396,"INCIDENTE GRAVE","COM TREM DE POUSO",MARABÁ,PA,BRASIL,****,2012-01-11,11:21:00,SIM,SERIPA-1,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
30681,"INCIDENTE GRAVE","PERDA DE CONTROLE NO SOLO",MARABÁ,PA,BRASIL,SBMA,2007-10-07,20:40:00,SIM,SERIPA-1,ATIVA,"A DEFINIR",NULL,NULL,0,1,1,2016-07-30
45390,ACIDENTE,"MANOBRAS A BAIXA ALTURA","CACHOEIRA DOURADA",GO,BRASIL,****,2012-01-20,21:00:00,SIM,SERIPA-6,FINALIZADA,A-598/CENIPA/2014,1,2014-10-01,0,1,NULL,2016-07-30
26620,ACIDENTE,"COLISÃO EM VOO COM OBSTÁCULO","RIO BONITO",RJ,BRASIL,****,2006-03-31,20:38:00,SIM,SERIPA-3,FINALIZADA,A-005/CENIPA/2007,1,2007-03-19,23,1,NULL,2016-07-30
26679,ACIDENTE,"PERDA DE CONTROLE NO SOLO",CONCÓRDIA,SC,BRASIL,****,2006-04-12,16:50:00,SIM,SERIPA-5,ATIVA,"A DEFINIR",NULL,NULL,0,1,1,2016-07-30
37459,"INCIDENTE GRAVE","FALHA DE SISTEMA / COMPONENTE",MACEIÓ,AL,BRASIL,SBMO,2009-05-18,20:52:00,SIM,SERIPA-2,ATIVA,IG-595/CENIPA/2016,NULL,NULL,0,1,NULL,2016-07-30
53488,ACIDENTE,"COLISÃO EM VOO COM OBSTÁCULO",MACEIÓ,AL,BRASIL,****,2015-09-23,13:50:00,SIM,SERIPA-2,ATIVA,A-128/CENIPA/2015,NULL,NULL,0,1,NULL,2016-07-30
38655,ACIDENTE,"PANE SECA",MACEIÓ,AL,BRASIL,****,2009-10-19,18:50:00,SIM,SERIPA-2,FINALIZADA,A-062/CENIPA/2011,1,2011-08-29,7,1,NULL,2016-07-30
47649,ACIDENTE,"FALHA DO MOTOR EM VOO","CAMPO MOURÃO",PR,BRASIL,SSKM,2013-04-12,13:03:00,SIM,SERIPA-5,FINALIZADA,A-066/CENIPA/2013,1,2014-06-02,1,1,NULL,2016-07-30
53256,ACIDENTE,"COLISÃO EM VOO COM OBSTÁCULO","CAMPO MOURÃO",PR,BRASIL,SSKM,2015-05-17,18:20:00,SIM,SERIPA-5,FINALIZADA,A-072/CENIPA/2015,1,2015-11-16,0,1,NULL,2016-07-30
53119,ACIDENTE,INDETERMINADA,"CAMPO MOURÃO",PR,BRASIL,****,2015-02-25,18:40:00,SIM,SERIPA-5,ATIVA,A-028/CENIPA/2015,NULL,NULL,0,1,NULL,2016-07-30
27690,ACIDENTE,"FALHA DO MOTOR EM VOO","CAMPO MOURÃO",PR,BRASIL,****,2006-09-25,17:40:00,SIM,SERIPA-5,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
49592,ACIDENTE,"PERDA DE CONTROLE EM VOO",IGUATEMI,MS,BRASIL,****,2013-08-29,20:00:00,SIM,SERIPA-6,FINALIZADA,A-153/CENIPA/2013,1,2014-08-15,0,1,NULL,2016-07-30
33024,"INCIDENTE GRAVE","COM TREM DE POUSO",FORTALEZA,CE,BRASIL,SBFZ,2008-06-20,23:33:00,SIM,SERIPA-2,ATIVA,IG-573/CENIPA/2016,NULL,NULL,0,1,1,2016-07-30
51731,ACIDENTE,"FALHA DO MOTOR EM VOO",FORTALEZA,CE,BRASIL,****,2014-06-27,14:30:00,***,SERIPA-2,NULL,NULL,NULL,NULL,0,1,NULL,2016-07-30
45748,ACIDENTE,"COM TREM DE POUSO",FORTALEZA,CE,BRASIL,SBFZ,2012-04-16,22:50:00,SIM,SERIPA-2,FINALIZADA,A-104/CENIPA/2013,1,2014-07-21,0,1,NULL,2016-07-30
52273,ACIDENTE,"COM HÉLICE",FORTALEZA,CE,BRASIL,SNFE,2014-08-23,17:34:00,SIM,SERIPA-2,FINALIZADA,A-145/CENIPA/2014,1,2015-05-15,0,1,NULL,2016-07-30
29161,"INCIDENTE GRAVE","POUSO LONGO",FORTALEZA,CE,BRASIL,SBFZ,2007-04-21,08:55:00,SIM,SERIPA-7,FINALIZADA,IG-013/CENIPA/2008,NULL,NULL,14,1,1,2016-07-30
36795,"INCIDENTE GRAVE","PERDA DE CONTROLE NO SOLO",FORTALEZA,CE,BRASIL,SBFZ,2009-03-29,16:40:00,SIM,SERIPA-2,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
50099,"INCIDENTE GRAVE","POUSO SEM TREM",FORTALEZA,CE,BRASIL,SBFZ,2013-11-04,14:06:00,SIM,SERIPA-2,ATIVA,IG-198/CENIPA/2013,NULL,NULL,0,1,NULL,2016-07-30
37876,"INCIDENTE GRAVE","PERDA DE CONTROLE NO SOLO",CANELA,RS,BRASIL,****,2009-06-14,20:20:00,SIM,SERIPA-5,FINALIZADA,IG-028/CENIPA/2010,1,2010-04-28,8,1,NULL,2016-07-30
45329,ACIDENTE,"FALHA DO MOTOR EM VOO",CAIAPÔNIA,GO,BRASIL,****,2011-01-06,12:00:00,SIM,SERIPA-6,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
53179,ACIDENTE,"FALHA DO MOTOR EM VOO",CAIAPÔNIA,GO,BRASIL,****,2015-03-28,10:30:00,SIM,SERIPA-6,FINALIZADA,A-047/CENIPA/2015,1,2016-06-03,0,1,NULL,2016-07-30
29275,"INCIDENTE GRAVE","FALHA DO MOTOR EM VOO","RIO CLARO",RJ,BRASIL,****,2006-12-22,18:35:00,SIM,SERIPA-3,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
44887,"INCIDENTE GRAVE","VAZAMENTO DE OUTROS FLUÍDOS",MARITUBA,PA,BRASIL,****,2011-07-19,16:30:00,SIM,SERIPA-1,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2016-07-30
52278,ACIDENTE,"PERDA DE CONTROLE EM VOO",CANDÓI,PR,BRASIL,****,2014-08-31,19:50:00,SIM,SERIPA-5,FINALIZADA,A-152/CENIPA/2014,1,2015-04-24,0,1,NULL,2016-07-30
